customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ltv,engagement_score,charges_per_tenure,has_multiple_services,is_new_customer,is_high_value,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No,tenure_group_12-24mo,tenure_group_24-48mo,tenure_group_48+mo,monthly_charges_category_Medium,monthly_charges_category_High,R_score,F_score,M_score,RFM_Score,RFM_Segment,KMeans_Cluster
7590-VHVEG,Female,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,,29.85,2,14.925,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,5,2,1,8,Developing,0
5575-GNVDE,Male,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,,1936.3,4,53.98571428571429,1,0,0,True,False,False,False,True,False,False,False,True,False,True,False,3,3,3,9,Developing,1
3668-QPYBK,Male,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,,107.7,4,36.05,1,1,0,False,False,False,False,True,False,False,False,False,False,True,False,5,3,1,9,Developing,3
7795-CFOCW,Male,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,,1903.5,4,40.016304347826086,1,0,0,True,False,False,False,False,False,False,False,True,False,True,False,2,3,3,8,Developing,1
9237-HQITU,Female,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,,141.4,2,50.55,0,1,0,False,False,False,True,False,True,False,False,False,False,False,True,5,2,1,8,Developing,3
9305-CDSKC,Female,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,,797.2,5,91.16666666666669,1,0,0,False,False,False,True,False,True,False,False,False,False,False,True,5,4,2,11,Established,3
1452-KIOVK,Male,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,,1960.2,4,84.75652173913043,1,0,0,False,False,True,False,False,True,False,True,False,False,False,True,4,3,3,10,Established,3
6713-OKOMC,Female,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,,297.5,2,27.44545454545454,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,5,2,2,9,Developing,0
7892-POOKP,Female,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,,2934.4,6,105.03620689655172,1,0,0,False,False,False,True,False,True,False,False,True,False,False,True,4,4,4,12,Established,1
6388-TABGU,Male,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,,3481.3,4,55.364285714285714,1,0,0,True,False,False,False,False,False,False,False,False,True,True,False,1,3,4,8,Developing,1
